Source,Target,Type
128,1196,W-G
483,1013,aG-B
483,1501,W-B
1013,1501,W-G
483,746,W-B
746,1013,W-G
1163,1358,aG-B
169,1163,W-B
169,1358,W-G
847,1163,W-B
847,1358,W-G
1172,1314,aG-B
207,1314,W-G
318,1314,W-G
268,1172,W-B
97,1172,W-B
97,1314,W-G
981,1022,aG-B
197,981,W-B
197,1022,W-G
405,981,W-B
405,1022,W-G
430,589,aG-B
430,1380,W-B
589,1380,W-G
430,698,W-B
589,698,W-G
32,635,aG-B
122,635,W-B
32,122,W-G
635,1050,W-B
32,1050,W-G
409,588,aG-B
371,409,W-B
371,588,W-G
295,409,W-B
295,588,W-G
963,1346,aG-B
145,963,W-B
145,1346,W-G
55,963,W-B
55,1346,W-G
29,44,aG-B
44,389,W-B
29,389,W-G
44,1323,W-B
29,1323,W-G
676,1287,aG-B
156,676,W-B
156,1287,W-G
676,830,W-B
830,1287,W-G
241,1190,aG-B
241,778,W-B
778,1190,W-G
165,241,W-B
165,1190,W-G
1159,1349,aG-B
612,1159,W-B
612,1349,W-G
615,1159,W-B
615,1349,W-G
643,1275,aG-B
812,1275,W-G
257,1275,W-G
643,1153,W-B
643,1272,W-B
548,1442,aG-B
1442,1509,W-B
548,1509,W-G
782,1442,W-B
548,782,W-G
946,1300,aG-B
63,1300,W-B
63,946,W-G
79,1300,W-B
79,946,W-G
249,286,aG-B
10,249,W-B
10,286,W-G
237,249,W-B
237,286,W-G
36,484,aG-B
36,529,W-B
484,529,W-G
36,390,W-B
390,484,W-G
51,919,aG-B
919,1364,W-G
919,1410,W-G
51,674,W-B
51,1141,W-B
919,1141,W-G
682,1357,aG-B
682,1499,W-B
682,786,W-B
1155,1357,W-G
817,1357,W-G
43,858,aG-B
43,790,W-B
790,858,W-G
43,1510,W-B
858,1510,W-G
233,1481,aG-B
233,1380,W-B
1380,1481,W-G
233,772,W-B
772,1481,W-G
433,1466,aG-B
1380,1466,W-B
433,1380,W-G
400,1466,W-B
400,433,W-G
680,1445,aG-B
11,1445,W-G
9,1445,W-G
680,778,W-B
680,1373,W-B
654,877,aG-B
803,877,W-B
654,803,W-G
877,1380,W-B
654,1380,W-G
235,737,aG-B
197,235,W-B
197,737,W-G
235,1055,W-B
737,1055,W-G
895,1434,aG-B
503,895,W-B
503,1434,W-G
895,1515,W-B
1434,1515,W-G
39,740,aG-B
39,950,W-B
740,950,W-G
39,577,W-B
577,740,W-G
275,601,aG-B
275,361,W-B
361,601,W-G
275,467,W-B
467,601,W-G
349,1070,aG-B
748,1070,W-B
349,748,W-G
729,1070,W-B
349,729,W-G
446,789,aG-B
446,1380,W-B
789,1380,W-G
347,446,W-B
347,789,W-G
705,799,aG-B
705,827,W-B
799,827,W-G
705,866,W-B
799,866,W-G
909,1024,aG-B
909,1328,W-B
1024,1328,W-G
383,909,W-B
383,1024,W-G
1077,1245,aG-B
78,1077,W-B
78,1245,W-G
373,1077,W-B
373,1245,W-G
707,859,aG-B
8,707,W-B
8,859,W-G
707,807,W-B
807,859,W-G
229,465,aG-B
229,356,W-B
356,465,W-G
229,832,W-B
465,832,W-G
357,1095,aG-B
523,1095,W-B
357,523,W-G
165,1095,W-B
165,357,W-G
231,621,aG-B
231,405,W-B
405,621,W-G
231,834,W-B
621,834,W-G
908,1042,aG-B
908,1406,W-B
1042,1406,W-G
824,908,W-B
824,1042,W-G
647,1076,aG-B
576,1076,W-B
174,1076,W-B
636,1253,aG-B
636,763,W-B
763,1253,W-G
636,1487,W-B
1253,1487,W-G
316,889,aG-B
889,1014,W-B
316,1014,W-G
889,1299,W-B
316,1299,W-G
1058,1229,aG-B
503,1058,W-B
503,1229,W-G
1058,1488,W-B
1229,1488,W-G
272,1267,aG-B
1,272,W-B
1,1267,W-G
272,955,W-B
955,1267,W-G
239,1257,aG-B
239,371,W-B
371,1257,W-G
239,504,W-B
504,1257,W-G
689,1008,aG-B
209,689,W-B
209,1008,W-G
689,1447,W-B
1008,1447,W-G
657,770,aG-B
657,1199,W-B
770,1199,W-G
657,868,W-B
770,868,W-G
500,959,aG-B
959,1521,W-B
500,1521,W-G
107,959,W-B
107,500,W-G
1009,1109,aG-B
545,1109,W-B
545,1009,W-G
784,1109,W-B
784,1009,W-G
984,1290,aG-B
519,984,W-B
519,1290,W-G
984,1505,W-B
1290,1505,W-G
242,469,aG-B
242,777,W-B
469,777,W-G
242,539,W-B
469,539,W-G
1124,1279,aG-B
1124,1427,W-B
1279,1427,W-G
757,1124,W-B
757,1279,W-G
880,1334,aG-B
511,880,W-B
511,1334,W-G
845,880,W-B
845,1334,W-G
202,410,aG-B
197,410,W-B
197,202,W-G
372,410,W-B
202,372,W-G
473,878,aG-B
197,878,W-B
197,473,W-G
600,878,W-B
473,600,W-G
